Using device: cuda
Total samples: 4899
Epoch 1 | Step 20/2449 | Loss: 0.478309 (Chamfer=0.378309, Repulse=0.999999, Smooth=0.000000)
Epoch 1 | Step 40/2449 | Loss: 0.355443 (Chamfer=0.255447, Repulse=0.999964, Smooth=0.000000)
Epoch 1 | Step 60/2449 | Loss: 0.383056 (Chamfer=0.283158, Repulse=0.998979, Smooth=0.000000)
Epoch 1 | Step 80/2449 | Loss: 0.304322 (Chamfer=0.205042, Repulse=0.992796, Smooth=0.000000)
Epoch 1 | Step 100/2449 | Loss: 0.285478 (Chamfer=0.186602, Repulse=0.988757, Smooth=0.000001)
Epoch 1 | Step 120/2449 | Loss: 0.211198 (Chamfer=0.112070, Repulse=0.991283, Smooth=0.000001)
Epoch 1 | Step 140/2449 | Loss: 0.314359 (Chamfer=0.215282, Repulse=0.990771, Smooth=0.000001)
Epoch 1 | Step 160/2449 | Loss: 0.224411 (Chamfer=0.125708, Repulse=0.987028, Smooth=0.000001)
Epoch 1 | Step 180/2449 | Loss: 0.348148 (Chamfer=0.251223, Repulse=0.969246, Smooth=0.000002)
Epoch 1 | Step 200/2449 | Loss: 0.186557 (Chamfer=0.093150, Repulse=0.934061, Smooth=0.000004)
Epoch 1 | Step 220/2449 | Loss: 0.184838 (Chamfer=0.101309, Repulse=0.835282, Smooth=0.000007)
Epoch 1 | Step 240/2449 | Loss: 0.140692 (Chamfer=0.080582, Repulse=0.601098, Smooth=0.000009)
Epoch 1 | Step 260/2449 | Loss: 0.129915 (Chamfer=0.087107, Repulse=0.428070, Smooth=0.000016)
Epoch 1 | Step 280/2449 | Loss: 0.108706 (Chamfer=0.070753, Repulse=0.379516, Smooth=0.000018)
Epoch 1 | Step 300/2449 | Loss: 0.179537 (Chamfer=0.139638, Repulse=0.398975, Smooth=0.000015)
Epoch 1 | Step 320/2449 | Loss: 0.109873 (Chamfer=0.077199, Repulse=0.326731, Smooth=0.000020)
Epoch 1 | Step 340/2449 | Loss: 0.161248 (Chamfer=0.129458, Repulse=0.317888, Smooth=0.000021)
Epoch 1 | Step 360/2449 | Loss: 0.074817 (Chamfer=0.045442, Repulse=0.293732, Smooth=0.000023)
Epoch 1 | Step 380/2449 | Loss: 0.104852 (Chamfer=0.069015, Repulse=0.358360, Smooth=0.000019)
Epoch 1 | Step 400/2449 | Loss: 0.083631 (Chamfer=0.054259, Repulse=0.293713, Smooth=0.000025)
Epoch 1 | Step 420/2449 | Loss: 0.066854 (Chamfer=0.040265, Repulse=0.265878, Smooth=0.000025)
Epoch 1 | Step 440/2449 | Loss: 0.074082 (Chamfer=0.045766, Repulse=0.283151, Smooth=0.000027)
Epoch 1 | Step 460/2449 | Loss: 0.064077 (Chamfer=0.042413, Repulse=0.216624, Smooth=0.000031)
Epoch 1 | Step 480/2449 | Loss: 0.079005 (Chamfer=0.053181, Repulse=0.258227, Smooth=0.000027)
Epoch 1 | Step 500/2449 | Loss: 0.094609 (Chamfer=0.066047, Repulse=0.285607, Smooth=0.000028)
Epoch 1 | Step 520/2449 | Loss: 0.058832 (Chamfer=0.039135, Repulse=0.196958, Smooth=0.000036)
Epoch 1 | Step 540/2449 | Loss: 0.044389 (Chamfer=0.017439, Repulse=0.269491, Smooth=0.000028)
Epoch 1 | Step 560/2449 | Loss: 0.055418 (Chamfer=0.035554, Repulse=0.198621, Smooth=0.000033)
Epoch 1 | Step 580/2449 | Loss: 0.074039 (Chamfer=0.055364, Repulse=0.186731, Smooth=0.000036)
Epoch 1 | Step 600/2449 | Loss: 0.050698 (Chamfer=0.034093, Repulse=0.166026, Smooth=0.000040)
Epoch 1 | Step 620/2449 | Loss: 0.100506 (Chamfer=0.085181, Repulse=0.153231, Smooth=0.000039)
Epoch 1 | Step 640/2449 | Loss: 0.059083 (Chamfer=0.029739, Repulse=0.293425, Smooth=0.000026)
Epoch 1 | Step 660/2449 | Loss: 0.043796 (Chamfer=0.025636, Repulse=0.181575, Smooth=0.000040)
Epoch 1 | Step 680/2449 | Loss: 0.041703 (Chamfer=0.027733, Repulse=0.139681, Smooth=0.000042)
Epoch 1 | Step 700/2449 | Loss: 0.040785 (Chamfer=0.021728, Repulse=0.190550, Smooth=0.000037)
Epoch 1 | Step 720/2449 | Loss: 0.071437 (Chamfer=0.053150, Repulse=0.182842, Smooth=0.000042)
Epoch 1 | Step 740/2449 | Loss: 0.045357 (Chamfer=0.028993, Repulse=0.163618, Smooth=0.000044)
Epoch 1 | Step 760/2449 | Loss: 0.063349 (Chamfer=0.030215, Repulse=0.331321, Smooth=0.000030)
Epoch 1 | Step 780/2449 | Loss: 0.047212 (Chamfer=0.026087, Repulse=0.211234, Smooth=0.000037)
Epoch 1 | Step 800/2449 | Loss: 0.037845 (Chamfer=0.022049, Repulse=0.157930, Smooth=0.000049)
Epoch 1 | Step 820/2449 | Loss: 0.035232 (Chamfer=0.024529, Repulse=0.106998, Smooth=0.000062)
Epoch 1 | Step 840/2449 | Loss: 0.046672 (Chamfer=0.029469, Repulse=0.172018, Smooth=0.000039)
Epoch 1 | Step 860/2449 | Loss: 0.054493 (Chamfer=0.038602, Repulse=0.158887, Smooth=0.000046)
Epoch 1 | Step 880/2449 | Loss: 0.040995 (Chamfer=0.021622, Repulse=0.193700, Smooth=0.000045)
Epoch 1 | Step 900/2449 | Loss: 0.034571 (Chamfer=0.017751, Repulse=0.168177, Smooth=0.000045)
Epoch 1 | Step 920/2449 | Loss: 0.032181 (Chamfer=0.020275, Repulse=0.119035, Smooth=0.000065)
Epoch 1 | Step 940/2449 | Loss: 0.049934 (Chamfer=0.031486, Repulse=0.184453, Smooth=0.000044)
Epoch 1 | Step 960/2449 | Loss: 0.030779 (Chamfer=0.017897, Repulse=0.128795, Smooth=0.000056)
Epoch 1 | Step 980/2449 | Loss: 0.034819 (Chamfer=0.012261, Repulse=0.225555, Smooth=0.000047)
Epoch 1 | Step 1000/2449 | Loss: 0.030939 (Chamfer=0.015521, Repulse=0.154144, Smooth=0.000055)
Epoch 1 | Step 1020/2449 | Loss: 0.045413 (Chamfer=0.016669, Repulse=0.287416, Smooth=0.000046)
Epoch 1 | Step 1040/2449 | Loss: 0.059792 (Chamfer=0.036354, Repulse=0.234358, Smooth=0.000043)
Epoch 1 | Step 1060/2449 | Loss: 0.026760 (Chamfer=0.012117, Repulse=0.146405, Smooth=0.000061)
Epoch 1 | Step 1080/2449 | Loss: 0.024650 (Chamfer=0.014335, Repulse=0.103117, Smooth=0.000064)
Epoch 1 | Step 1100/2449 | Loss: 0.046790 (Chamfer=0.030577, Repulse=0.162103, Smooth=0.000047)
Epoch 1 | Step 1120/2449 | Loss: 0.023577 (Chamfer=0.013228, Repulse=0.103450, Smooth=0.000081)
Epoch 1 | Step 1140/2449 | Loss: 0.030567 (Chamfer=0.017105, Repulse=0.134581, Smooth=0.000071)
Epoch 1 | Step 1160/2449 | Loss: 0.025626 (Chamfer=0.011008, Repulse=0.146142, Smooth=0.000069)
Epoch 1 | Step 1180/2449 | Loss: 0.038501 (Chamfer=0.019668, Repulse=0.188298, Smooth=0.000052)
Epoch 1 | Step 1200/2449 | Loss: 0.033255 (Chamfer=0.019849, Repulse=0.134021, Smooth=0.000077)
Epoch 1 | Step 1220/2449 | Loss: 0.036386 (Chamfer=0.024694, Repulse=0.116884, Smooth=0.000073)
Epoch 1 | Step 1240/2449 | Loss: 0.035171 (Chamfer=0.013016, Repulse=0.221510, Smooth=0.000074)
Epoch 1 | Step 1260/2449 | Loss: 0.033514 (Chamfer=0.010854, Repulse=0.226568, Smooth=0.000072)
Epoch 1 | Step 1280/2449 | Loss: 0.029845 (Chamfer=0.009145, Repulse=0.206959, Smooth=0.000075)
Epoch 1 | Step 1300/2449 | Loss: 0.050598 (Chamfer=0.027955, Repulse=0.226407, Smooth=0.000057)
Epoch 1 | Step 1320/2449 | Loss: 0.028903 (Chamfer=0.012013, Repulse=0.168874, Smooth=0.000062)
Epoch 1 | Step 1340/2449 | Loss: 0.027674 (Chamfer=0.016170, Repulse=0.115001, Smooth=0.000076)
Epoch 1 | Step 1360/2449 | Loss: 0.046314 (Chamfer=0.031871, Repulse=0.144397, Smooth=0.000068)
Epoch 1 | Step 1380/2449 | Loss: 0.040159 (Chamfer=0.023802, Repulse=0.163529, Smooth=0.000069)
Epoch 1 | Step 1400/2449 | Loss: 0.042254 (Chamfer=0.022446, Repulse=0.198050, Smooth=0.000070)
Epoch 1 | Step 1420/2449 | Loss: 0.035356 (Chamfer=0.015601, Repulse=0.197525, Smooth=0.000066)
Epoch 1 | Step 1440/2449 | Loss: 0.036849 (Chamfer=0.018432, Repulse=0.184133, Smooth=0.000071)
Epoch 1 | Step 1460/2449 | Loss: 0.028173 (Chamfer=0.010123, Repulse=0.180459, Smooth=0.000065)
Epoch 1 | Step 1480/2449 | Loss: 0.034630 (Chamfer=0.019422, Repulse=0.152047, Smooth=0.000065)
Epoch 1 | Step 1500/2449 | Loss: 0.032656 (Chamfer=0.011669, Repulse=0.209829, Smooth=0.000078)
Epoch 1 | Step 1520/2449 | Loss: 0.036658 (Chamfer=0.020748, Repulse=0.159063, Smooth=0.000079)
Epoch 1 | Step 1540/2449 | Loss: 0.057798 (Chamfer=0.041921, Repulse=0.158737, Smooth=0.000065)
Epoch 1 | Step 1560/2449 | Loss: 0.043107 (Chamfer=0.023425, Repulse=0.196791, Smooth=0.000060)
Epoch 1 | Step 1580/2449 | Loss: 0.032532 (Chamfer=0.012453, Repulse=0.200748, Smooth=0.000082)
Epoch 1 | Step 1600/2449 | Loss: 0.033456 (Chamfer=0.015019, Repulse=0.184330, Smooth=0.000083)
Epoch 1 | Step 1620/2449 | Loss: 0.031459 (Chamfer=0.009261, Repulse=0.221938, Smooth=0.000078)
Epoch 1 | Step 1640/2449 | Loss: 0.037929 (Chamfer=0.019509, Repulse=0.184164, Smooth=0.000070)
